spelling,mandarin_target,surname_ppm_as_written,target_share
aai,ai,9.2023,0.0183156389
aak,e,0.7019,0.0183156389
aam,an,24.9555,0.0183156389
aan,an,24.9555,0.0183156389
aap,a,1.9497,0.0183156389
aat,a,1.9497,0.0183156389
aau,ao,3.4314,0.0183156389
ah,a,1.9497,0.0183156389
au,ou,817.5153,1.0
beuk,bi,14.5834,0.0183156389
bun,bin,1.2478,0.0183156389
chak,zhai,1021.8941,1.0
chan,chen,35080.7722,1.0
chang,zhang,62799.6491,1.0
chee,qi,23.9417,0.0183156389
cheng,zheng,7762.1371,1.0
cheuk,zhuo,340.6314,1.0
cheung,zhang,62799.6491,1.0
chew,zhou,298.7644,0.0183156389
chia,jia,3333.9294,1.0
chiang,jiang,4027.9658,1.0
chieh,jie,10.2942,0.0183156389
chien,qian,1864.9567,1.0
chih,zhi,2.4176,0.0183156389
chik,qi,1307.1728,1.0
chin,jin,3214.7085,1.0
chine,qin,50.223,0.0183156389
ching,cheng,7762.1371,1.0
chiu,zhao,19288.2508,1.0
choi,cai,4176.9921,1.0
chou,zhou,16311.9843,1.0
chow,zhou,16311.9843,1.0
chu,zhu,12032.8028,1.0
chuang,zhuang,885.6415,1.0
chuen,quan,4.9131,0.0183156389
chung,zhong,51.1588,0.0183156389
dok,duo,0.6239,0.0183156389
fai,hui,245.344,0.0183156389
fan,fan,3555.3398,1.0
fat,fa,0.4679,0.0183156389
fay,hui,245.344,0.0183156389
fok,huo,894.1573,1.0
fong,fang,2861.3034,1.0
fook,fu,50.8469,0.0183156389
fung,feng,5305.3334,1.0
fut,fu,50.8469,0.0183156389
git,ji,13.5696,0.0183156389
goh,wu,16077.8002,1.0
got,ge,27.2951,0.0183156389
gun,guan,13.8815,0.0183156389
hak,ke,12.0098,0.0183156389
han,han,5837.5699,1.0
hau,hou,52.0947,0.0183156389
hay,xi,5.615,0.0183156389
hean,xian,1.4037,0.0183156389
hei,xi,5.615,0.0183156389
heung,xiang,22.6159,0.0183156389
hin,xian,1.4037,0.0183156389
hiu,xiao,82.0413,0.0183156389
ho,he,8136.8316,1.0
hok,xue,45.8558,0.0183156389
hon,han,106.9188,0.0183156389
horng,hong,24.3316,0.0183156389
hsi,xi,5.615,0.0183156389
hsia,xia,54.0443,0.0183156389
hsiao,xiao,82.0413,0.0183156389
hsieh,xie,5522.4859,1.0
hsien,xian,1.4037,0.0183156389
hsin,xin,12.3218,0.0183156389
hsiu,xiu,1.9497,0.0183156389
hsiung,xiong,2478.0931,1.0
hsu,xu,13395.3282,1.0
huang,huang,15698.8478,1.0
huey,hui,245.344,0.0183156389
hui,xu,13395.3282,1.0
hung,hong,24.3316,0.0183156389
im,lin,8149.6053,1.0
ip,ye,3717.1397,1.0
jang,zhang,62799.6491,1.0
jen,ren,76.2703,0.0183156389
jeng,zheng,142.1685,0.0183156389
jeung,zhang,1150.2157,0.0183156389
jui,rui,2.4956,0.0183156389
jung,zheng,7762.1371,1.0
jyh,zhi,2.4176,0.0183156389
kam,jin,3214.7085,1.0
kan,gan,11.4639,0.0183156389
kay,qi,23.9417,0.0183156389
kei,qi,23.9417,0.0183156389
keng,geng,18.4827,0.0183156389
keung,qiang,5.303,0.0183156389
khoo,qiu,2248.167,1.0
kin,jian,3.8213,0.0183156389
kit,jie,10.2942,0.0183156389
kiu,qiao,1290.1413,1.0
ko,ge,27.2951,0.0183156389
kok,ge,27.2951,0.0183156389
kong,jiang,4027.9658,1.0
koo,gu,1775.541,1.0
kot,ge,1490.2622,1.0
ku,gu,32.5202,0.0183156389
kuan,guan,13.8815,0.0183156389
kuei,gui,6.7848,0.0183156389
kung,gong,28.8548,0.0183156389
kuo,guo,10798.0141,1.0
kut,qu,817.5153,1.0
kwai,gui,6.7848,0.0183156389
kwan,guan,757.9048,1.0
kwok,guo,10798.0141,1.0
kwong,kuang,234.1841,1.0
kyeong,jing,344.8893,1.0
lai,lai,63038.0911,1.0
lam,lin,8149.6053,1.0
lau,liu,45525.3813,1.0
lee,li,63038.0911,1.0
leuhng,liang,102.4736,0.0183156389
leuk,le,3.6653,0.0183156389
leung,liang,5594.8701,1.0
li,li,63038.0911,1.0
lim,lin,8149.6053,1.0
lo,luo,6310.1959,1.0
loi,lei,1996.9513,1.0
lok,luo,6310.1959,1.0
luk,lu,3206.1927,1.0
lung,long,1349.7518,1.0
lut,lu,58.7235,0.0183156389
ma,ma,10815.0457,1.0
mak,mai,170.3157,1.0
man,wen,44.374,0.0183156389
mang,meng,52.8745,0.0183156389
may,mei,14.1935,0.0183156389
miin,min,4.7571,0.0183156389
miu,miao,736.6153,1.0
mo,mo,1779.7989,1.0
mok,mo,1779.7989,1.0
moon,wen,2422.7405,1.0
muk,mu,7.9546,0.0183156389
mun,men,2.1836,0.0183156389
mut,mo,32.5982,0.0183156389
ng,wu,16077.8002,1.0
ngai,ai,502.4313,1.0
ngok,e,0.7019,0.0183156389
ning,ning,740.8732,1.0
on,an,24.9555,0.0183156389
oou,ou,14.9733,0.0183156389
pa,ba,1.9497,0.0183156389
pak,bai,2516.4142,1.0
pang,peng,4756.0654,1.0
pao,bao,13.8035,0.0183156389
pay,pei,14.1935,0.0183156389
piao,biao,0.6239,0.0183156389
pien,bian,6.3949,0.0183156389
po,bo,6.4728,0.0183156389
pok,bo,6.4728,0.0183156389
poon,pan,3840.6186,1.0
pui,pei,14.1935,0.0183156389
pun,pan,3840.6186,1.0
qen,chen,642.5268,0.0183156389
sau,shou,1.1698,0.0183156389
say,xi,5.615,0.0183156389
seung,song,6544.38,1.0
shek,shi,2891.1087,1.0
sheuk,shuo,0.9358,0.0183156389
sheung,shang,15.4412,0.0183156389
shih,shi,52.9525,0.0183156389
shin,shen,3308.3821,1.0
shing,cheng,7762.1371,1.0
shiu,shao,1809.6041,1.0
shok,shuo,0.9358,0.0183156389
shuen,xuan,2.2616,0.0183156389
shum,cen,144.7683,1.0
shut,shu,12.1658,0.0183156389
shyang,xiang,22.6159,0.0183156389
sik,shi,2891.1087,1.0
sin,xian,76.6421,1.0
sing,xing,24.0197,0.0183156389
sit,xue,2503.6405,1.0
siu,xiao,4479.3024,1.0
so,su,3342.4452,1.0
son,sun,13463.4545,1.0
soo,su,3342.4452,1.0
suen,sun,13463.4545,1.0
suh,xu,13395.3282,1.0
sze,shi,2891.1087,1.0
szeto,situ,58.6013,1.0
szu,si,9.5923,0.0183156389
ta,da,0.7019,0.0183156389
tam,tan,2618.6036,1.0
tang,tang,5556.5491,1.0
tat,da,38.321,1.0
tau,tao,32.2862,0.0183156389
tay,dai,34.4698,0.0183156389
teng,deng,4398.4024,1.0
teo,zhang,62799.6491,1.0
ti,di,18.7166,0.0183156389
tiao,diao,4.9131,0.0183156389
tim,tian,86.2525,0.0183156389
tin,tian,4709.2286,1.0
ting,ding,4385.6288,1.0
tiong,tang,101.7717,0.0183156389
tiu,zhao,19288.2508,1.0
to,du,80.2476,0.0183156389
tok,tuo,0.7019,0.0183156389
tong,tang,5556.5491,1.0
tou,du,4381.3709,1.0
tsai,cai,4176.9921,1.0
tsang,zeng,3793.7818,1.0
tsao,cao,5198.8861,1.0
tse,xie,5522.4859,1.0
tseng,zeng,3793.7818,1.0
tsin,qian,34.1579,0.0183156389
tso,cao,5198.8861,1.0
tsoi,cai,4176.9921,1.0
tsok,zuo,16.767,0.0183156389
tsuen,quan,4.9131,0.0183156389
tsui,xu,13395.3282,1.0
tsung,zong,6.2389,0.0183156389
tsz,zi,0.8729,0.0183156389
tuan,duan,2303.5196,1.0
tung,dong,86.0186,0.0183156389
tut,tuo,0.7019,0.0183156389
tzong,zong,6.2389,0.0183156389
tzu,zi,0.8729,0.0183156389
wah,hua,11.8539,0.0183156389
wai,wei,4564.4602,1.0
wan,wen,2422.7405,1.0
wat,yu,84.2249,0.0183156389
way,wei,83.601,0.0183156389
wing,rong,4.9131,0.0183156389
wok,huo,16.3771,0.0183156389
wong,wang,68479.6771,1.0
woo,hu,10597.8932,1.0
wu,wu,16077.8002,1.0
wun,huan,1.3258,0.0183156389
wut,huo,16.3771,0.0183156389
yam,ren,4164.2184,1.0
yan,yan,2754.8561,1.0
yau,you,613.1364,1.0
yay,yi,20.7443,0.0183156389
yee,yi,20.7443,0.0183156389
yeh,ye,3717.1397,1.0
yeuk,yue,21.2122,0.0183156389
yeung,yang,26347.8357,1.0
yew,yu,84.2249,0.0183156389
yik,yi,1132.5993,1.0
yim,yan,50.4569,0.0183156389
yip,ye,3717.1397,1.0
yit,yi,20.7443,0.0183156389
yiu,yao,3402.0557,1.0
yu,yu,4598.5234,1.0
yuen,yuan,4504.8497,1.0
yuk,yu,84.2249,0.0183156389
yung,rong,268.2472,1.0
